Year,Region,Sector,Electricity Consumption (MWh),Name,Date_Object,Periodicity
2016,Eastern,Commercial,9154764.233,Commercial : Eastern,1/1/2016,Annually
2016,Central,Agricultural,3470114.086,Agricultural : Central,1/1/2016,Annually
2016,Western,Others,3617422.592,Others : Western,1/1/2016,Annually
2016,Total,Others,11087177.79,Others : Total,1/1/2016,Annually
2017,Southern,Governmental,4393082.957,Governmental : Southern,1/1/2017,Annually
2017,Central,Total,90799511.27,Total : Central,1/1/2017,Annually
2017,Western,Total,87353321.82,Total : Western,1/1/2017,Annually
2018,Western,Residential,45874487.11,Residential : Western,1/1/2018,Annually
2018,Central,Industrial,6430184.053,Industrial : Central,1/1/2018,Annually
2018,Eastern,Industrial,36756391.24,Industrial : Eastern,1/1/2018,Annually
2018,Southern,Governmental,5350147.012,Governmental : Southern,1/1/2018,Annually
2018,Total,Commercial,47083330.06,Commercial : Total,1/1/2018,Annually
2018,Total,Agricultural,5039601.215,Agricultural : Total,1/1/2018,Annually
2018,Eastern,Others,2400719.468,Others : Eastern,1/1/2018,Annually
2018,Total,Others,13080897.76,Others : Total,1/1/2018,Annually
2018,Total,Total,289929149.9,Total : Total,1/1/2018,Annually
2019,Total,Residential,128140723.7,Residential : Total,1/1/2019,Annually
2019,Eastern,Industrial,35331676.08,Industrial : Eastern,1/1/2019,Annually
2019,Western,Industrial,6607871.469,Industrial : Western,1/1/2019,Annually
2019,Total,Governmental,37753442.31,Governmental : Total,1/1/2019,Annually
2019,Southern,Agricultural,112706.6353,Agricultural : Southern,1/1/2019,Annually
2020,Total,Industrial,50762005.28,Industrial : Total,1/1/2020,Annually
2020,Total,Governmental,35241062.1,Governmental : Total,1/1/2020,Annually
2020,Central,Agricultural,3250986.028,Agricultural : Central,1/1/2020,Annually
2020,Eastern,Agricultural,921499.6723,Agricultural : Eastern,1/1/2020,Annually
2020,Central,Others,4044622.099,Others : Central,1/1/2020,Annually
2020,Eastern,Others,2046812.812,Others : Eastern,1/1/2020,Annually
2020,Southern,Others,1673059.851,Others : Southern,1/1/2020,Annually
2020,Total,Others,10846643.17,Others : Total,1/1/2020,Annually
2020,Southern,Total,30303130.52,Total : Southern,1/1/2020,Annually
2021,Eastern,Residential,27142485.4,Residential : Eastern,1/1/2021,Annually
2021,Eastern,Industrial,35779123.33,Industrial : Eastern,1/1/2021,Annually
2021,Total,Industrial,51254789.91,Industrial : Total,1/1/2021,Annually
2021,Central,Governmental,10694049.34,Governmental : Central,1/1/2021,Annually
2021,Total,Governmental,36237550.53,Governmental : Total,1/1/2021,Annually
2021,Western,Commercial,14828840.74,Commercial : Western,1/1/2021,Annually
2021,Southern,Agricultural,119832.2674,Agricultural : Southern,1/1/2021,Annually
2021,Total,Others,11085003.32,Others : Total,1/1/2021,Annually
2021,Western,Total,84657182.91,Total : Western,1/1/2021,Annually
2022,Western,Residential,46053776.5,Residential : Western,1/1/2022,Annually
2022,Southern,Residential,18982981.2,Residential : Southern,1/1/2022,Annually
2022,Total,Residential,142449918.7,Residential : Total,1/1/2022,Annually
2022,Central,Industrial,7894769.187,Industrial : Central,1/1/2022,Annually
2022,Western,Industrial,7609205.156,Industrial : Western,1/1/2022,Annually
2022,Southern,Industrial,1579081.32,Industrial : Southern,1/1/2022,Annually
2022,Western,Governmental,12482111.69,Governmental : Western,1/1/2022,Annually
2022,Western,Commercial,17165787.81,Commercial : Western,1/1/2022,Annually
2022,Western,Others,3229723.116,Others : Western,1/1/2022,Annually
2005,Western,Governmental,4716438,Governmental : Western,1/1/2005,Annually
2005,Southern,Governmental,1176250,Governmental : Southern,1/1/2005,Annually
2005,Total,Governmental,16675167,Governmental : Total,1/1/2005,Annually
2005,Total,Commercial,15579973,Commercial : Total,1/1/2005,Annually
2005,Eastern,Agricultural,475056,Agricultural : Eastern,1/1/2005,Annually
2005,Western,Agricultural,310849,Agricultural : Western,1/1/2005,Annually
2005,Central,Others,2186793,Others : Central,1/1/2005,Annually
2005,Eastern,Others,921272,Others : Eastern,1/1/2005,Annually
2006,Central,Residential,27476518,Residential : Central,1/1/2006,Annually
2006,Central,Governmental,7130417,Governmental : Central,1/1/2006,Annually
2006,Eastern,Governmental,4842500,Governmental : Eastern,1/1/2006,Annually
2006,Southern,Governmental,1306666,Governmental : Southern,1/1/2006,Annually
2006,Central,Commercial,5719504,Commercial : Central,1/1/2006,Annually
2006,Eastern,Commercial,4779163,Commercial : Eastern,1/1/2006,Annually
2006,Total,Commercial,17073862,Commercial : Total,1/1/2006,Annually
2006,Eastern,Agricultural,524369,Agricultural : Eastern,1/1/2006,Annually
2006,Western,Agricultural,322232,Agricultural : Western,1/1/2006,Annually
2006,Southern,Others,668954,Others : Southern,1/1/2006,Annually
2007,Central,Residential,28928580,Residential : Central,1/1/2007,Annually
2007,Total,Residential,89903084,Residential : Total,1/1/2007,Annually
2007,Total,Industrial,30634593,Industrial : Total,1/1/2007,Annually
2007,Western,Governmental,5635773,Governmental : Western,1/1/2007,Annually
2007,Eastern,Others,1387715,Others : Eastern,1/1/2007,Annually
2007,Southern,Others,602525,Others : Southern,1/1/2007,Annually
2008,Central,Residential,31697666,Residential : Central,1/1/2008,Annually
2008,Southern,Industrial,110086,Industrial : Southern,1/1/2008,Annually
2008,Total,Governmental,20457197,Governmental : Total,1/1/2008,Annually
2008,Central,Commercial,7585332,Commercial : Central,1/1/2008,Annually
2008,Southern,Commercial,1237939,Commercial : Southern,1/1/2008,Annually
2008,Total,Commercial,21366612,Commercial : Total,1/1/2008,Annually
2008,Southern,Agricultural,69228,Agricultural : Southern,1/1/2008,Annually
2008,Total,Others,6704874,Others : Total,1/1/2008,Annually
2008,Western,Total,55465199,Total : Western,1/1/2008,Annually
2009,Eastern,Residential,19401996,Residential : Eastern,1/1/2009,Annually
2009,Western,Residential,38206816,Residential : Western,1/1/2009,Annually
2009,Central,Industrial,3859873,Industrial : Central,1/1/2009,Annually
2009,Total,Governmental,22248061,Governmental : Total,1/1/2009,Annually
2009,Western,Commercial,7985269,Commercial : Western,1/1/2009,Annually
2009,Total,Commercial,23604881,Commercial : Total,1/1/2009,Annually
2009,Central,Agricultural,3974335,Agricultural : Central,1/1/2009,Annually
2009,Western,Agricultural,440533,Agricultural : Western,1/1/2009,Annually
2009,Total,Others,7070658,Others : Total,1/1/2009,Annually
2009,Total,Total,193472186,Total : Total,1/1/2009,Annually
2010,Eastern,Residential,20993203,Residential : Eastern,1/1/2010,Annually
2010,Western,Residential,40465394,Residential : Western,1/1/2010,Annually
2010,Southern,Residential,12332642,Residential : Southern,1/1/2010,Annually
2010,Total,Residential,108627472,Residential : Total,1/1/2010,Annually
2010,Eastern,Others,1318003.3,Others : Eastern,1/1/2010,Annually
2010,Southern,Others,832726.1,Others : Southern,1/1/2010,Annually
2011,Central,Residential,37042068,Residential : Central,1/1/2011,Annually
2011,Total,Residential,109261447.4,Residential : Total,1/1/2011,Annually
2011,Total,Industrial,42128709.8,Industrial : Total,1/1/2011,Annually
2011,Southern,Governmental,2268610.8,Governmental : Southern,1/1/2011,Annually
2011,Western,Others,2503926.9,Others : Western,1/1/2011,Annually
2011,Southern,Total,18241857.7,Total : Southern,1/1/2011,Annually
2011,Total,Total,219661644.5,Total : Total,1/1/2011,Annually
2012,Eastern,Governmental,6938500,Governmental : Eastern,1/1/2012,Annually
2012,Southern,Governmental,2552500,Governmental : Southern,1/1/2012,Annually
2012,Central,Agricultural,2773800,Agricultural : Central,1/1/2012,Annually
2013,Central,Residential,39579812.17,Residential : Central,1/1/2013,Annually
2013,Western,Residential,47561823.09,Residential : Western,1/1/2013,Annually
2013,Southern,Industrial,685738.319,Industrial : Southern,1/1/2013,Annually
2013,Eastern,Commercial,8216568.951,Commercial : Eastern,1/1/2013,Annually
2013,Western,Commercial,15289385.55,Commercial : Western,1/1/2013,Annually
2013,Western,Agricultural,625887.096,Agricultural : Western,1/1/2013,Annually
2013,Eastern,Total,78655397.06,Total : Eastern,1/1/2013,Annually
2014,Eastern,Residential,25866944.44,Residential : Eastern,1/1/2014,Annually
2014,Southern,Residential,16412999.82,Residential : Southern,1/1/2014,Annually
2014,Total,Governmental,30010818.66,Governmental : Total,1/1/2014,Annually
2014,Western,Commercial,16333917.79,Commercial : Western,1/1/2014,Annually
2014,Central,Agricultural,2953608.332,Agricultural : Central,1/1/2014,Annually
2014,Eastern,Agricultural,823794.4117,Agricultural : Eastern,1/1/2014,Annually
2014,Eastern,Others,1499023.842,Others : Eastern,1/1/2014,Annually
2014,Eastern,Total,82359120.84,Total : Eastern,1/1/2014,Annually
2015,Total,Residential,144040699.4,Residential : Total,1/1/2015,Annually
2015,Central,Industrial,6108793.578,Industrial : Central,1/1/2015,Annually
2015,Western,Industrial,5815722.93,Industrial : Western,1/1/2015,Annually
2015,Southern,Industrial,797974.8254,Industrial : Southern,1/1/2015,Annually
2015,Central,Commercial,16824003.25,Commercial : Central,1/1/2015,Annually
2015,Eastern,Others,1694709.048,Others : Eastern,1/1/2015,Annually
2015,Southern,Others,1438389.157,Others : Southern,1/1/2015,Annually
2015,Total,Others,10819000.97,Others : Total,1/1/2015,Annually
2015,Eastern,Total,81352280.25,Total : Eastern,1/1/2015,Annually
2015,Total,Total,286036824.6,Total : Total,1/1/2015,Annually
2016,Western,Residential,51567975.29,Residential : Western,1/1/2016,Annually
2016,Central,Industrial,6331590.169,Industrial : Central,1/1/2016,Annually
2016,Total,Industrial,46499378.92,Industrial : Total,1/1/2016,Annually
2016,Central,Governmental,11488891.43,Governmental : Central,1/1/2016,Annually
2016,Western,Commercial,17998435.41,Commercial : Western,1/1/2016,Annually
2016,Western,Agricultural,870031.07,Agricultural : Western,1/1/2016,Annually
2016,Southern,Others,1485740.304,Others : Southern,1/1/2016,Annually
2017,Central,Residential,48187135.62,Residential : Central,1/1/2017,Annually
2017,Eastern,Residential,27619486.93,Residential : Eastern,1/1/2017,Annually
2017,Total,Industrial,47230362.28,Industrial : Total,1/1/2017,Annually
2017,Central,Governmental,11391119.28,Governmental : Central,1/1/2017,Annually
2017,Western,Others,3586162.948,Others : Western,1/1/2017,Annually
2018,Central,Residential,43004597.48,Residential : Central,1/1/2018,Annually
2018,Southern,Residential,15916069.11,Residential : Southern,1/1/2018,Annually
2018,Total,Residential,129984394,Residential : Total,1/1/2018,Annually
2018,Central,Governmental,11269449.23,Governmental : Central,1/1/2018,Annually
2018,Eastern,Governmental,9966942.763,Governmental : Eastern,1/1/2018,Annually
2018,Western,Governmental,17006864.49,Governmental : Western,1/1/2018,Annually
2018,Central,Commercial,16356172.57,Commercial : Central,1/1/2018,Annually
2018,Western,Commercial,17151855.43,Commercial : Western,1/1/2018,Annually
2018,Eastern,Total,83882737.79,Total : Eastern,1/1/2018,Annually
2018,Western,Total,91901711.9,Total : Western,1/1/2018,Annually
2018,Southern,Total,28786062.52,Total : Southern,1/1/2018,Annually
2019,Central,Industrial,6938621.629,Industrial : Central,1/1/2019,Annually
2019,Central,Commercial,16333360.8,Commercial : Central,1/1/2019,Annually
2019,Eastern,Agricultural,867270.6011,Agricultural : Eastern,1/1/2019,Annually
2019,Total,Others,12542426.01,Others : Total,1/1/2019,Annually
2020,Western,Residential,45782285.07,Residential : Western,1/1/2020,Annually
2020,Southern,Residential,18070369.46,Residential : Southern,1/1/2020,Annually
2020,Central,Governmental,10135874.94,Governmental : Central,1/1/2020,Annually
2020,Eastern,Governmental,8157111.153,Governmental : Eastern,1/1/2020,Annually
2020,Western,Governmental,11872163.56,Governmental : Western,1/1/2020,Annually
2020,Southern,Governmental,5075912.446,Governmental : Southern,1/1/2020,Annually
2020,Eastern,Commercial,8446513.477,Commercial : Eastern,1/1/2020,Annually
2020,Southern,Commercial,4181710.799,Commercial : Southern,1/1/2020,Annually
2020,Western,Agricultural,879486.9771,Agricultural : Western,1/1/2020,Annually
2020,Total,Agricultural,5165539.954,Agricultural : Total,1/1/2020,Annually
2020,Western,Total,81082833.85,Total : Western,1/1/2020,Annually
